Score,Episodes,Rating,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format,Name_format,Type_format,Source_format
7,39,G - All Ages,26,3,0,25,105,1606,0,1
7,52,G - All Ages,23,3,0,2,192,1607,0,1
7,52,G - All Ages,25,3,0,2,192,1608,0,0
7,52,G - All Ages,24,3,0,2,192,1609,0,1
7,44,PG - Children,24,1,4,73,216,1610,0,1
7,41,G - All Ages,24,3,0,21,216,1611,0,0
7,43,G - All Ages,24,3,1,7,127,1612,0,26
6,45,PG - Children,5,1,0,51,99,1613,0,5
6,50,G - All Ages,5,3,0,11,3,1614,0,5
7,52,G - All Ages,25,3,2,4,13,1615,0,4
7,52,G - All Ages,25,3,2,2,100,1616,0,4
8,23,G - All Ages,23,3,3,3,13,1617,0,2
7,51,G - All Ages,24,3,3,98,101,1618,0,1
7,78,G - All Ages,24,3,0,208,13,1619,0,1
6,2,PG-13 - Teens 13 or older,42,1,0,79,1,1620,2,2
5,2,PG-13 - Teens 13 or older,28,1,0,79,1,1621,2,2
6,1,PG - Children,20,1,2,209,306,1622,3,26
7,1,PG - Children,90,1,0,4,306,1623,1,26
8,1,PG - Children,141,1,5,18,28,1624,1,0
7,4,Rx - Hentai,28,2,10,59,90,1625,2,1
5,2,Rx - Hentai,30,2,10,38,64,1626,2,2
7,2,Rx - Hentai,30,2,10,59,74,1627,2,2
6,1,Rx - Hentai,30,2,10,142,90,1628,2,2
6,1,Rx - Hentai,35,2,10,149,90,1629,2,2
7,2,Rx - Hentai,30,2,10,109,54,1630,2,2
7,1,PG-13 - Teens 13 or older,92,1,0,24,3,1631,1,1
8,1,G - All Ages,101,3,2,18,128,1632,1,0
7,1,PG-13 - Teens 13 or older,23,1,19,20,5,1633,3,2
7,34,R - 17+ (violence & profanity),24,0,0,12,321,1634,0,1
9,25,R - 17+ (violence & profanity),24,0,1,0,216,1635,0,0
7,66,PG - Children,25,1,0,129,102,1636,0,1
7,63,G - All Ages,25,3,0,60,105,1637,0,1
7,40,G - All Ages,24,3,3,3,13,1638,0,2
6,1,PG - Children,75,1,3,124,103,1639,1,2
7,47,PG - Children,24,1,6,2,216,1640,0,0
6,3,Rx - Hentai,30,2,0,38,64,1641,2,2
9,47,PG-13 - Teens 13 or older,24,1,1,210,55,1642,0,1
7,51,PG - Children,24,1,0,2,20,1643,0,1
8,12,PG-13 - Teens 13 or older,24,1,3,61,17,1644,0,2
7,13,PG-13 - Teens 13 or older,25,1,3,8,104,1645,0,2
7,24,PG-13 - Teens 13 or older,24,1,3,12,1,1646,0,2
7,1,PG-13 - Teens 13 or older,24,1,2,0,151,1647,2,26
5,12,G - All Ages,23,3,0,53,15,1648,0,0
7,24,PG - Children,24,1,16,11,191,1649,0,1
7,50,PG-13 - Teens 13 or older,23,1,0,3,179,1650,0,1
6,2,Rx - Hentai,30,2,10,38,64,1651,2,2
7,51,PG-13 - Teens 13 or older,22,1,15,16,18,1652,0,0
7,13,G - All Ages,23,3,0,141,74,1653,0,1
6,3,Rx - Hentai,30,2,8,182,54,1654,2,1
7,1,G - All Ages,87,3,16,34,306,1655,1,26
8,1,PG-13 - Teens 13 or older,32,1,0,211,216,1656,3,1
6,2,Rx - Hentai,26,2,10,38,64,1657,2,0
7,2,PG - Children,32,1,2,0,321,1658,1,0
8,13,PG-13 - Teens 13 or older,24,1,0,19,9,1659,0,1
7,13,PG-13 - Teens 13 or older,26,1,4,62,4,1660,0,1
7,25,PG-13 - Teens 13 or older,23,1,4,20,5,1661,0,1
8,13,PG-13 - Teens 13 or older,24,1,2,10,14,1662,0,2
5,12,PG-13 - Teens 13 or older,5,1,0,19,413,1663,4,2
7,1,PG-13 - Teens 13 or older,104,1,1,147,6,1664,1,1
7,13,PG-13 - Teens 13 or older,25,1,2,212,74,1665,0,26
5,1,PG-13 - Teens 13 or older,86,1,5,10,79,1666,2,0
5,1,PG-13 - Teens 13 or older,47,1,4,177,56,1667,2,1
7,13,R - 17+ (violence & profanity),24,0,1,57,40,1668,2,0
7,2,Rx - Hentai,30,2,8,38,64,1669,2,2
5,1,R - 17+ (violence & profanity),45,0,2,10,79,1670,2,2
8,25,R - 17+ (violence & profanity),23,0,0,24,191,1671,0,1
7,26,PG-13 - Teens 13 or older,24,1,0,42,34,1672,0,1
7,13,R+ - Mild Nudity,25,2,0,24,4,1673,0,1
8,2,R - 17+ (violence & profanity),112,0,7,24,191,1674,3,1
7,1,R+ - Mild Nudity,1,2,2,43,191,1675,1,1
7,1,PG-13 - Teens 13 or older,48,1,2,17,191,1676,2,1
7,1,PG-13 - Teens 13 or older,48,1,3,17,191,1677,2,1
7,23,PG-13 - Teens 13 or older,24,1,0,9,5,1678,0,1
8,11,PG-13 - Teens 13 or older,23,1,0,18,406,1679,0,1
8,26,R - 17+ (violence & profanity),23,0,9,5,191,1680,0,1
6,2,PG-13 - Teens 13 or older,25,1,2,12,191,1681,2,1
7,1,R - 17+ (violence & profanity),51,0,2,101,46,1682,2,1
7,330,G - All Ages,25,3,0,22,28,1683,0,1
6,1,PG-13 - Teens 13 or older,30,1,15,24,191,1684,2,1
7,52,PG-13 - Teens 13 or older,24,1,5,43,190,1685,0,1
6,2,PG-13 - Teens 13 or older,37,1,11,61,74,1686,2,2
7,68,G - All Ages,25,3,6,0,216,1687,0,1
6,1,PG-13 - Teens 13 or older,59,1,1,124,228,1688,1,2
8,1,PG-13 - Teens 13 or older,90,1,1,72,228,1689,1,2
7,47,R+ - Mild Nudity,24,2,0,22,321,1690,0,1
7,52,PG-13 - Teens 13 or older,23,1,1,3,208,1691,0,1
5,2,R+ - Mild Nudity,30,2,0,79,91,1692,2,1
7,1,R - 17+ (violence & profanity),64,0,1,169,105,1693,2,1
6,2,Rx - Hentai,30,2,10,109,54,1694,2,2
6,35,PG-13 - Teens 13 or older,24,1,1,159,18,1695,0,1
7,50,PG-13 - Teens 13 or older,25,1,0,213,50,1696,0,0
7,52,G - All Ages,24,3,1,34,167,1697,0,1
6,2,Rx - Hentai,30,2,8,109,105,1698,2,1
6,2,Rx - Hentai,30,2,8,38,64,1699,2,0
7,23,G - All Ages,23,3,0,34,3,1700,0,1
6,3,PG-13 - Teens 13 or older,26,1,0,55,406,1701,2,1
5,52,G - All Ages,10,3,0,6,85,1702,0,0
6,5,Rx - Hentai,45,2,2,168,1,1703,2,1
7,103,R+ - Mild Nudity,10,2,0,9,28,1704,0,1
6,3,Rx - Hentai,30,2,0,59,64,1705,2,1
6,1,G - All Ages,2,3,1,79,44,1706,2,1
7,58,R+ - Mild Nudity,23,2,1,2,17,1707,0,1
7,3,R+ - Mild Nudity,30,2,0,141,9,1708,2,1
7,1,PG-13 - Teens 13 or older,26,1,1,6,282,1709,1,0
7,2,PG-13 - Teens 13 or older,26,1,11,67,15,1710,2,0
7,1,PG-13 - Teens 13 or older,122,1,3,214,15,1711,1,2
8,2,PG-13 - Teens 13 or older,24,1,0,129,64,1712,3,1
8,13,PG-13 - Teens 13 or older,24,1,0,9,15,1713,0,1
8,12,PG-13 - Teens 13 or older,24,1,0,17,5,1714,0,1
6,2,R+ - Mild Nudity,39,2,0,215,1,1715,2,1
7,53,PG - Children,23,1,1,12,216,1716,0,1
6,26,PG-13 - Teens 13 or older,23,1,1,13,216,1717,0,1
6,51,PG - Children,23,1,1,4,18,1718,0,26
7,2,Rx - Hentai,30,2,10,59,90,1719,2,2
6,2,Rx - Hentai,30,2,10,109,54,1720,2,2
7,52,G - All Ages,26,3,3,2,13,1721,0,1
6,52,G - All Ages,25,3,0,2,3,1722,0,1
6,1,PG-13 - Teens 13 or older,95,1,1,17,191,1723,1,2
6,1,PG-13 - Teens 13 or older,44,1,3,17,191,1724,1,2
7,34,PG - Children,24,1,0,43,50,1725,0,1
7,49,PG - Children,25,1,0,9,106,1726,0,1
6,47,G - All Ages,22,3,6,3,82,1727,0,1
6,1,PG-13 - Teens 13 or older,42,1,1,177,64,1728,2,1
7,109,G - All Ages,24,3,5,4,13,1729,0,1
7,1,PG-13 - Teens 13 or older,43,1,0,22,4,1730,3,0
6,13,PG-13 - Teens 13 or older,25,1,4,88,2,1731,0,1
6,1,PG-13 - Teens 13 or older,47,1,1,126,191,1732,2,0
6,1,PG-13 - Teens 13 or older,111,1,1,133,179,1733,1,1
6,3,PG-13 - Teens 13 or older,47,1,1,145,179,1734,2,1
8,2,PG-13 - Teens 13 or older,24,1,0,12,17,1735,3,1
6,12,R - 17+ (violence & profanity),23,0,1,141,200,1736,0,2
8,6,PG-13 - Teens 13 or older,18,1,4,115,47,1737,4,0
7,2,Rx - Hentai,30,2,10,109,107,1738,2,2
7,2,PG-13 - Teens 13 or older,24,1,0,0,10,1739,3,1
6,26,PG-13 - Teens 13 or older,22,1,2,207,18,1740,0,0
7,5,PG - Children,22,1,0,76,65,1741,0,1
7,1,G - All Ages,75,3,2,23,321,1742,1,1
6,1,PG-13 - Teens 13 or older,81,1,1,102,228,1743,1,2
7,52,PG-13 - Teens 13 or older,23,1,0,2,57,1744,0,1
6,26,G - All Ages,22,3,2,3,192,1745,0,1
7,30,G - All Ages,25,3,3,22,13,1746,0,1
7,2,R+ - Mild Nudity,27,2,0,106,108,1747,2,1
6,2,Rx - Hentai,43,2,0,41,19,1748,2,1
7,35,PG-13 - Teens 13 or older,23,1,0,3,321,1749,0,1
6,1,G - All Ages,47,3,1,24,1,1750,2,0
7,1,G - All Ages,24,3,0,19,24,1751,3,0
7,1,PG-13 - Teens 13 or older,95,1,1,54,4,1752,1,0
7,1,PG-13 - Teens 13 or older,90,1,1,17,4,1753,1,0
7,13,PG-13 - Teens 13 or older,24,1,0,19,12,1754,0,1
8,26,PG-13 - Teens 13 or older,24,1,0,25,42,1755,0,1
8,13,R - 17+ (violence & profanity),25,0,0,19,17,1756,0,1
7,13,R+ - Mild Nudity,25,2,0,12,2,1757,0,2
7,12,PG-13 - Teens 13 or older,25,1,0,18,4,1758,0,26
7,13,R - 17+ (violence & profanity),25,0,1,39,38,1759,0,1
6,2,PG-13 - Teens 13 or older,23,1,0,10,18,1760,3,1
6,38,Rx - Hentai,26,2,0,8,23,1761,2,0
7,2,PG-13 - Teens 13 or older,48,1,6,18,321,1762,3,1
5,50,PG - Children,25,1,1,22,321,1763,0,0
7,12,R - 17+ (violence & profanity),25,0,4,216,341,1764,2,0
6,1,PG-13 - Teens 13 or older,67,1,4,1,3,1765,1,0
7,1,PG-13 - Teens 13 or older,93,1,1,0,81,1766,1,26
7,13,PG-13 - Teens 13 or older,23,1,4,0,15,1767,0,0
7,39,PG - Children,21,1,4,2,13,1768,0,0
7,137,PG-13 - Teens 13 or older,24,1,0,34,321,1769,0,1
7,46,PG-13 - Teens 13 or older,24,1,0,34,321,1770,0,1
7,15,PG-13 - Teens 13 or older,7,1,1,20,216,1771,2,0
5,23,G - All Ages,23,3,0,3,15,1772,0,0
9,13,G - All Ages,24,3,2,2,74,1773,0,1
7,10,PG-13 - Teens 13 or older,24,1,0,20,5,1774,0,1
7,12,PG-13 - Teens 13 or older,24,1,11,4,413,1775,0,2
7,40,PG - Children,25,1,4,20,216,1776,0,0
7,74,PG-13 - Teens 13 or older,25,1,0,3,321,1777,0,1
7,52,G - All Ages,23,3,0,25,43,1778,0,0
6,37,PG-13 - Teens 13 or older,23,1,1,2,216,1779,0,0
7,4,PG-13 - Teens 13 or older,29,1,3,217,40,1780,2,2
7,24,PG-13 - Teens 13 or older,24,1,2,17,413,1781,0,2
6,1,R+ - Mild Nudity,58,2,1,12,21,1782,2,0
7,48,G - All Ages,24,3,1,160,216,1783,0,0
7,1,PG-13 - Teens 13 or older,21,1,3,47,5,1784,1,1
6,1,R+ - Mild Nudity,25,2,0,12,16,1785,2,2
6,5,Rx - Hentai,30,2,0,109,54,1786,2,2
7,42,PG-13 - Teens 13 or older,24,1,3,60,13,1787,0,1
7,6,R+ - Mild Nudity,45,2,1,20,7,1788,0,0
7,24,PG-13 - Teens 13 or older,25,1,0,17,20,1789,0,0
7,2,PG-13 - Teens 13 or older,23,1,1,7,7,1790,3,1
7,12,PG-13 - Teens 13 or older,25,1,0,8,40,1791,0,2
7,13,PG-13 - Teens 13 or older,23,1,1,20,5,1792,0,1
6,26,PG-13 - Teens 13 or older,24,1,1,9,41,1793,0,0
5,1,PG - Children,51,1,17,147,105,1794,1,26
7,26,R - 17+ (violence & profanity),22,0,1,5,15,1795,0,0
7,26,PG-13 - Teens 13 or older,23,1,1,6,85,1796,0,0
8,20,R - 17+ (violence & profanity),23,0,6,22,321,1797,0,1
8,24,R+ - Mild Nudity,26,2,1,72,38,1798,2,2
7,2,R+ - Mild Nudity,29,2,0,106,2,1799,2,1
6,3,Rx - Hentai,30,2,10,109,54,1800,2,1
7,3,PG-13 - Teens 13 or older,23,1,1,20,109,1801,0,1
6,3,PG-13 - Teens 13 or older,30,1,2,0,29,1802,2,0
6,95,R+ - Mild Nudity,25,2,0,2,3,1803,0,1
6,2,R+ - Mild Nudity,30,2,1,7,1,1804,2,1
7,24,R - 17+ (violence & profanity),23,0,1,218,4,1805,0,0
7,50,R+ - Mild Nudity,24,2,0,2,50,1806,0,1
7,2,PG-13 - Teens 13 or older,23,1,0,69,29,1807,3,1
7,12,R - 17+ (violence & profanity),24,0,2,12,1,1808,0,0
7,1,PG - Children,30,1,0,24,1,1809,2,1
6,2,Rx - Hentai,30,2,10,116,367,1810,2,0
6,130,PG - Children,10,1,5,25,13,1811,0,1
7,127,PG - Children,25,1,4,9,13,1812,0,1
7,99,G - All Ages,24,3,0,2,216,1813,0,1
7,49,G - All Ages,24,3,1,3,13,1814,0,1
6,50,PG-13 - Teens 13 or older,25,1,1,219,18,1815,0,1
7,1,R - 17+ (violence & profanity),97,0,1,180,6,1816,1,26
6,4,R+ - Mild Nudity,45,2,1,8,228,1817,2,1
7,4,PG - Children,29,1,0,46,40,1818,3,0
7,26,R+ - Mild Nudity,24,2,0,24,7,1819,0,1
7,13,PG-13 - Teens 13 or older,24,1,3,6,5,1820,0,1
7,1,G - All Ages,38,3,3,19,110,1821,2,1
7,12,PG-13 - Teens 13 or older,24,1,0,42,74,1822,0,1
8,1,PG-13 - Teens 13 or older,14,1,2,48,2,1823,3,2
7,12,PG-13 - Teens 13 or older,25,1,0,46,89,1824,0,2
8,24,PG-13 - Teens 13 or older,24,1,0,62,64,1825,0,1
7,1,PG-13 - Teens 13 or older,27,1,0,102,5,1826,3,1
7,47,G - All Ages,24,3,1,160,216,1827,0,0
6,1,R+ - Mild Nudity,106,2,3,22,50,1828,1,2
7,21,PG - Children,10,1,5,65,7,1829,0,26
7,13,PG-13 - Teens 13 or older,20,1,2,15,220,1830,0,0
6,12,R+ - Mild Nudity,24,2,0,10,7,1831,0,2
7,48,G - All Ages,24,3,1,160,216,1832,0,0
6,1,R - 17+ (violence & profanity),48,0,1,220,228,1833,2,1
5,1,R - 17+ (violence & profanity),45,0,1,220,228,1834,2,1
6,1,PG - Children,30,1,0,24,50,1835,2,1
5,2,G - All Ages,30,3,11,92,3,1836,2,26
5,12,G - All Ages,20,3,0,221,105,1837,0,1
6,2,Rx - Hentai,46,2,1,181,21,1838,2,0
7,2,Rx - Hentai,27,2,10,198,91,1839,2,2
6,3,Rx - Hentai,24,2,10,150,21,1840,2,2
8,373,PG-13 - Teens 13 or older,25,1,0,3,131,1841,0,1
6,61,G - All Ages,24,3,0,3,3,1842,0,1
7,12,Rx - Hentai,27,2,10,59,90,1843,2,1
7,52,PG - Children,24,1,4,100,13,1844,0,0
7,30,PG-13 - Teens 13 or older,26,1,0,76,216,1845,0,1
6,4,Rx - Hentai,24,2,10,181,21,1846,2,0
6,34,PG - Children,25,1,5,2,179,1847,0,1
8,25,PG-13 - Teens 13 or older,24,1,1,0,20,1848,0,0
7,2,PG-13 - Teens 13 or older,30,1,1,67,33,1849,2,1
5,1,PG-13 - Teens 13 or older,90,1,0,222,111,1850,1,1
6,49,PG - Children,25,1,2,98,216,1851,0,26
7,26,PG-13 - Teens 13 or older,24,1,0,12,10,1852,0,2
7,51,PG-13 - Teens 13 or older,25,1,1,57,321,1853,0,1
6,1,Rx - Hentai,30,2,10,38,64,1854,2,2
8,51,PG-13 - Teens 13 or older,24,1,0,6,0,1855,0,1
7,3,R+ - Mild Nudity,29,2,0,67,25,1856,2,2
7,26,PG-13 - Teens 13 or older,24,1,1,62,112,1857,0,2
5,1,PG-13 - Teens 13 or older,27,1,1,16,190,1858,2,0
6,2,R+ - Mild Nudity,55,2,1,8,191,1859,2,1
8,1,R - 17+ (violence & profanity),90,0,1,93,23,1860,1,1
8,13,PG-13 - Teens 13 or older,24,1,0,6,17,1861,0,1
5,2,PG-13 - Teens 13 or older,26,1,1,10,1,1862,2,1
7,12,PG-13 - Teens 13 or older,23,1,0,3,15,1863,0,2
7,13,PG-13 - Teens 13 or older,23,1,7,19,104,1864,0,2
7,13,PG-13 - Teens 13 or older,24,1,0,223,65,1865,0,2
7,12,R+ - Mild Nudity,25,2,0,141,191,1866,0,1
7,26,G - All Ages,25,3,5,224,41,1867,2,1
6,1,R+ - Mild Nudity,59,2,1,72,64,1868,2,1
7,13,PG-13 - Teens 13 or older,24,1,0,12,8,1869,0,2
5,25,G - All Ages,24,3,0,22,321,1870,0,0
7,2,Rx - Hentai,30,2,10,59,90,1871,2,1
6,52,G - All Ages,24,3,1,2,40,1872,0,0
7,52,PG - Children,24,1,0,160,330,1873,0,1
7,3,PG - Children,28,1,11,40,21,1874,2,1
6,4,R+ - Mild Nudity,2,2,2,12,17,1875,15,1
7,5,PG-13 - Teens 13 or older,30,1,0,10,5,1876,2,2
7,24,R - 17+ (violence & profanity),23,0,1,153,4,1877,0,1
7,12,R+ - Mild Nudity,24,2,0,29,413,1878,0,2
7,26,PG-13 - Teens 13 or older,24,1,0,69,1,1879,0,1
7,24,PG-13 - Teens 13 or older,24,1,1,20,2,1880,0,1
6,1,G - All Ages,53,3,0,160,216,1881,1,1
5,1,R - 17+ (violence & profanity),36,0,1,168,113,1882,2,1
8,28,R - 17+ (violence & profanity),26,0,1,102,38,1883,2,2
7,12,R+ - Mild Nudity,24,2,1,42,4,1884,0,0
7,25,PG-13 - Teens 13 or older,23,1,1,146,179,1885,0,0
7,50,G - All Ages,24,3,0,2,3,1886,0,1
8,22,PG-13 - Teens 13 or older,22,1,1,83,0,1887,0,1
6,2,Rx - Hentai,30,2,7,109,54,1888,2,1
7,48,G - All Ages,24,3,1,60,321,1889,0,0
8,12,R+ - Mild Nudity,24,2,4,5,191,1890,0,0
8,12,R - 17+ (violence & profanity),13,0,0,92,36,1891,2,1
5,3,Rx - Hentai,30,2,10,182,69,1892,2,1
6,2,Rx - Hentai,30,2,10,109,54,1893,2,2
7,11,PG-13 - Teens 13 or older,25,1,7,3,321,1894,0,1
8,26,R - 17+ (violence & profanity),24,0,7,6,5,1895,0,0
8,25,PG-13 - Teens 13 or older,24,1,0,0,105,1896,0,1
7,3,PG-13 - Teens 13 or older,45,1,3,18,55,1897,2,1
6,6,PG-13 - Teens 13 or older,30,1,0,10,15,1898,2,0
6,30,G - All Ages,20,3,0,6,1,1899,0,26
7,1,G - All Ages,93,3,0,22,28,1900,1,1
6,2,Rx - Hentai,29,2,8,225,114,1901,2,2
7,1,PG - Children,65,1,2,226,321,1902,1,4
6,1,G - All Ages,65,3,2,227,321,1903,1,1
6,1,PG-13 - Teens 13 or older,19,1,0,12,16,1904,2,2
6,1,PG-13 - Teens 13 or older,33,1,1,43,18,1905,1,1
7,39,G - All Ages,24,3,2,2,13,1906,0,1
6,13,G - All Ages,24,3,1,228,41,1907,0,1
7,5,Rx - Hentai,29,2,10,198,91,1908,2,2
6,2,PG-13 - Teens 13 or older,35,1,0,228,191,1909,2,1
8,1,R - 17+ (violence & profanity),61,0,1,229,24,1910,1,2
8,1,R+ - Mild Nudity,59,2,1,229,24,1911,1,2
8,1,PG-13 - Teens 13 or older,112,1,1,42,97,1912,1,0
8,1,PG-13 - Teens 13 or older,96,1,1,42,97,1913,1,0
5,1,R - 17+ (violence & profanity),24,0,1,42,97,1914,1,0
6,1,PG-13 - Teens 13 or older,48,1,0,84,3,1915,2,1
6,2,Rx - Hentai,30,2,7,109,54,1916,2,1
6,69,G - All Ages,25,3,0,7,82,1917,0,1
6,36,G - All Ages,25,3,6,3,165,1918,0,1
6,26,G - All Ages,25,3,0,230,179,1919,0,1
4,1,PG-13 - Teens 13 or older,30,1,1,145,9,1920,2,26
6,26,G - All Ages,25,3,0,60,13,1921,0,1
6,163,PG-13 - Teens 13 or older,25,1,1,3,13,1922,0,1
7,28,PG-13 - Teens 13 or older,25,1,1,3,13,1923,0,1
7,1,PG-13 - Teens 13 or older,88,1,3,9,191,1924,1,1
7,26,G - All Ages,25,3,3,14,13,1925,0,2
7,52,G - All Ages,22,3,5,25,284,1926,0,2
7,45,G - All Ages,24,3,0,21,216,1927,0,1
6,61,G - All Ages,24,3,8,3,321,1928,0,1
8,104,G - All Ages,3,3,0,2,191,1929,0,1
5,26,PG-13 - Teens 13 or older,25,1,1,22,321,1930,0,1
8,1,PG-13 - Teens 13 or older,113,1,0,24,321,1931,1,1
6,91,G - All Ages,24,3,0,93,179,1932,0,0
7,26,R+ - Mild Nudity,22,2,4,5,191,1933,0,1
7,5,PG-13 - Teens 13 or older,35,1,0,13,7,1934,3,1
6,1,G - All Ages,67,3,3,173,174,1935,1,1
5,100,G - All Ages,25,3,0,6,13,1936,0,1
6,52,PG-13 - Teens 13 or older,23,1,20,190,18,1937,0,0
6,88,G - All Ages,20,3,0,22,321,1938,0,1
6,13,G - All Ages,25,3,3,2,103,1939,0,0
5,26,G - All Ages,11,3,13,197,110,1940,0,1
6,1,R+ - Mild Nudity,45,2,0,1,191,1941,2,1
6,52,PG-13 - Teens 13 or older,25,1,1,231,115,1942,0,2
8,3,R - 17+ (violence & profanity),29,0,0,6,40,1943,3,2
8,52,PG-13 - Teens 13 or older,25,1,4,2,32,1944,0,1
5,1,Rx - Hentai,42,2,0,43,79,1945,2,1
6,2,Rx - Hentai,30,2,10,232,94,1946,2,0
6,4,R - 17+ (violence & profanity),29,0,1,41,306,1947,2,1
7,3,Rx - Hentai,30,2,10,109,116,1948,2,2
7,2,Rx - Hentai,28,2,10,109,54,1949,2,2
8,25,R - 17+ (violence & profanity),24,0,1,14,216,1950,0,0
8,1,PG-13 - Teens 13 or older,80,1,1,41,2,1951,2,1
6,39,PG-13 - Teens 13 or older,24,1,1,22,321,1952,0,0
6,26,PG-13 - Teens 13 or older,25,1,1,0,0,1953,0,0
5,77,PG - Children,24,1,0,16,3,1954,0,5
7,4,Rx - Hentai,29,2,10,59,74,1955,2,1
7,2,Rx - Hentai,29,2,10,233,109,1956,2,2
7,2,Rx - Hentai,30,2,10,109,117,1957,2,2
7,1,PG-13 - Teens 13 or older,110,1,0,43,55,1958,1,1
6,64,G - All Ages,25,3,0,14,55,1959,0,1
7,13,PG-13 - Teens 13 or older,23,1,0,6,85,1960,0,1
6,13,PG - Children,5,1,0,234,15,1961,4,2
7,1,PG-13 - Teens 13 or older,128,1,1,20,216,1962,1,1
7,1,PG-13 - Teens 13 or older,128,1,1,20,216,1963,1,1
7,154,PG-13 - Teens 13 or older,24,1,1,7,131,1964,0,1
7,13,PG-13 - Teens 13 or older,24,1,0,6,85,1965,0,1
6,1,R+ - Mild Nudity,44,2,1,23,1,1966,2,1
6,1,G - All Ages,14,3,5,47,98,1967,1,5
7,6,PG-13 - Teens 13 or older,22,1,0,53,36,1968,2,0
6,2,Rx - Hentai,30,2,10,109,54,1969,2,1
6,4,R - 17+ (violence & profanity),40,0,17,235,118,1970,2,0
7,2,Rx - Hentai,27,2,8,59,74,1971,2,1
6,50,G - All Ages,25,3,1,3,179,1972,0,0
7,2,PG-13 - Teens 13 or older,25,1,0,11,127,1973,2,1
5,1,Rx - Hentai,24,2,17,236,69,1974,2,0
7,12,PG-13 - Teens 13 or older,22,1,0,3,13,1975,0,1
7,1,PG - Children,96,1,1,4,306,1976,1,26
6,1,PG-13 - Teens 13 or older,17,1,0,67,33,1977,2,26
7,51,PG-13 - Teens 13 or older,24,1,0,2,42,1978,0,1
8,50,R+ - Mild Nudity,24,2,1,2,341,1979,0,1
7,52,G - All Ages,22,3,2,2,105,1980,0,26
7,51,G - All Ages,24,3,0,237,29,1981,0,0
7,39,G - All Ages,20,3,1,2,220,1982,0,26
8,7,PG-13 - Teens 13 or older,23,1,0,7,319,1983,2,1
7,12,PG-13 - Teens 13 or older,5,1,0,0,5,1984,0,1
6,1,PG-13 - Teens 13 or older,48,1,1,43,18,1985,2,1
8,1,PG-13 - Teens 13 or older,25,1,3,8,80,1986,3,2
7,12,R+ - Mild Nudity,23,2,0,6,11,1987,0,1
7,26,PG-13 - Teens 13 or older,24,1,4,11,38,1988,0,2
7,1,PG - Children,66,1,3,3,321,1989,3,2
7,1,PG-13 - Teens 13 or older,29,1,0,48,306,1990,3,26
8,13,PG-13 - Teens 13 or older,24,1,3,6,40,1991,0,1
7,1,PG-13 - Teens 13 or older,23,1,0,12,191,1992,3,1
7,26,PG-13 - Teens 13 or older,22,1,1,9,208,1993,0,1
6,3,R - 17+ (violence & profanity),20,0,21,23,50,1994,2,1
8,22,R - 17+ (violence & profanity),22,0,1,3,22,1995,0,0
5,52,G - All Ages,23,3,0,3,208,1996,0,1
7,6,PG-13 - Teens 13 or older,12,1,1,238,191,1997,2,1
8,1,PG-13 - Teens 13 or older,90,1,0,239,191,1998,1,1
8,1,PG-13 - Teens 13 or older,112,1,0,6,44,1999,1,0
7,52,PG - Children,22,1,0,197,127,2000,0,1
6,24,G - All Ages,3,3,0,0,7,2001,4,0
6,26,G - All Ages,23,3,3,165,321,2002,0,2
7,1,PG-13 - Teens 13 or older,8,1,0,93,3,2003,3,1
7,3,G - All Ages,30,3,2,226,321,2004,2,0
6,1,PG-13 - Teens 13 or older,35,1,0,1,64,2005,2,0
7,13,R - 17+ (violence & profanity),24,0,1,11,151,2006,0,1
5,2,Rx - Hentai,30,2,0,156,1,2007,2,1
7,1,PG-13 - Teens 13 or older,24,1,0,0,5,2008,3,1
8,2,PG-13 - Teens 13 or older,30,1,0,64,4,2009,2,1
7,7,PG-13 - Teens 13 or older,5,1,0,12,1,2010,3,0
5,1,PG-13 - Teens 13 or older,45,1,0,10,64,2011,2,1
8,26,PG-13 - Teens 13 or older,24,1,1,6,0,2012,4,0
9,24,PG-13 - Teens 13 or older,24,1,0,8,80,2013,0,2
8,1,R - 17+ (violence & profanity),23,0,0,6,0,2014,3,0
6,50,PG-13 - Teens 13 or older,25,1,1,2,321,2015,0,1
7,24,R - 17+ (violence & profanity),24,0,1,240,413,2016,0,2
7,26,PG-13 - Teens 13 or older,25,1,3,241,127,2017,0,1
7,25,PG - Children,23,1,2,6,15,2018,0,26
8,25,PG-13 - Teens 13 or older,24,1,0,2,1,2019,0,1
7,3,R - 17+ (violence & profanity),23,0,0,242,89,2020,2,1
7,12,R+ - Mild Nudity,24,2,1,141,21,2021,0,1
7,51,PG - Children,20,1,0,2,3,2022,0,26
7,46,PG-13 - Teens 13 or older,22,1,1,57,321,2023,0,1
7,2,PG - Children,23,1,16,11,191,2024,3,1
6,1,PG-13 - Teens 13 or older,105,1,3,102,191,2025,1,0
6,25,PG-13 - Teens 13 or older,23,1,0,2,31,2026,0,1
6,1,PG-13 - Teens 13 or older,30,1,3,19,413,2027,2,2
7,13,R+ - Mild Nudity,24,2,0,24,4,2028,0,1
8,25,PG-13 - Teens 13 or older,24,1,0,48,1,2029,0,2
7,39,PG-13 - Teens 13 or older,23,1,1,165,321,2030,0,0
5,2,PG-13 - Teens 13 or older,30,1,1,177,64,2031,2,1
6,12,R - 17+ (violence & profanity),24,0,1,180,191,2032,0,1
