Score,Episodes,Rating,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format,Name_format,Type_format,Source_format
7,24,R - 17+ (violence & profanity),21,0,0,0,3,80,0,1
7,13,PG-13 - Teens 13 or older,24,1,0,6,5,81,0,1
7,3,PG-13 - Teens 13 or older,30,1,0,6,5,82,2,1
7,24,PG-13 - Teens 13 or older,23,1,0,22,4,83,0,0
7,52,PG - Children,25,1,0,25,13,84,0,0
5,8,PG-13 - Teens 13 or older,14,1,0,26,14,85,0,0
7,26,PG-13 - Teens 13 or older,23,1,1,19,7,86,0,0
8,26,PG-13 - Teens 13 or older,12,1,0,13,15,87,0,1
7,13,PG-13 - Teens 13 or older,25,1,0,27,64,88,0,0
7,26,PG-13 - Teens 13 or older,23,1,0,2,64,89,0,0
7,7,PG-13 - Teens 13 or older,34,1,0,27,64,90,2,0
7,4,PG-13 - Teens 13 or older,30,1,0,27,64,91,2,0
7,13,PG-13 - Teens 13 or older,14,1,0,28,413,92,0,2
8,26,PG-13 - Teens 13 or older,24,1,0,2,5,93,0,1
8,51,PG-13 - Teens 13 or older,24,1,0,6,0,94,0,1
8,52,PG-13 - Teens 13 or older,24,1,0,7,5,95,0,1
8,52,PG-13 - Teens 13 or older,23,1,0,2,3,96,0,1
6,13,PG-13 - Teens 13 or older,24,1,0,12,406,97,0,0
7,13,PG-13 - Teens 13 or older,24,1,0,12,8,98,0,0
7,24,PG-13 - Teens 13 or older,25,1,0,29,4,99,0,26
8,50,R - 17+ (violence & profanity),23,0,0,2,3,100,0,1
8,49,PG-13 - Teens 13 or older,24,1,0,11,5,101,0,1
6,12,R+ - Mild Nudity,24,2,0,8,15,102,0,2
7,13,R - 17+ (violence & profanity),24,0,1,3,191,103,0,1
8,75,PG-13 - Teens 13 or older,23,1,0,2,3,104,0,1
8,62,PG-13 - Teens 13 or older,23,1,1,3,13,105,0,1
6,12,R - 17+ (violence & profanity),23,0,4,22,8,106,0,1
7,12,PG-13 - Teens 13 or older,24,1,3,11,16,107,0,1
7,13,G - All Ages,24,3,3,10,321,108,0,2
8,26,PG-13 - Teens 13 or older,24,1,0,2,1,109,0,1
7,12,R+ - Mild Nudity,24,2,0,10,17,110,0,0
7,14,R+ - Mild Nudity,23,2,3,12,91,111,0,2
7,12,PG-13 - Teens 13 or older,24,1,1,0,1,112,0,1
8,50,R - 17+ (violence & profanity),24,0,1,6,15,113,0,0
7,3,R+ - Mild Nudity,46,2,0,23,321,114,2,1
7,24,R - 17+ (violence & profanity),23,0,1,22,4,115,0,0
8,45,PG-13 - Teens 13 or older,25,1,1,30,3,116,0,2
8,64,PG-13 - Teens 13 or older,23,1,0,2,7,117,0,1
7,1,R - 17+ (violence & profanity),97,0,1,10,191,118,1,1
7,24,R+ - Mild Nudity,24,2,1,0,191,119,0,1
7,26,PG-13 - Teens 13 or older,23,1,0,19,7,120,0,1
7,13,PG-13 - Teens 13 or older,24,1,3,13,5,121,0,2
6,24,PG-13 - Teens 13 or older,23,1,2,9,1,122,0,1
8,13,R - 17+ (violence & profanity),25,0,2,31,64,123,0,0
7,24,R - 17+ (violence & profanity),24,0,0,22,4,124,0,1
7,26,G - All Ages,24,3,0,32,191,125,0,1
6,26,PG - Children,20,1,0,33,3,126,0,26
9,1,PG-13 - Teens 13 or older,135,1,1,34,128,127,1,0
7,26,PG-13 - Teens 13 or older,23,1,1,3,0,128,0,0
7,26,PG-13 - Teens 13 or older,26,1,4,35,4,129,0,1
7,24,PG-13 - Teens 13 or older,23,1,0,17,0,130,0,2
7,26,PG-13 - Teens 13 or older,24,1,1,36,216,131,0,0
7,12,R - 17+ (violence & profanity),24,0,1,10,1,132,0,2
9,101,PG-13 - Teens 13 or older,23,1,0,22,321,133,0,1
7,25,PG-13 - Teens 13 or older,24,1,0,37,5,134,0,1
7,24,R - 17+ (violence & profanity),23,0,0,22,191,135,0,1
7,26,PG-13 - Teens 13 or older,25,1,1,13,3,136,0,1
6,4,PG-13 - Teens 13 or older,28,1,5,38,11,137,2,2
8,26,PG-13 - Teens 13 or older,25,1,1,11,151,138,0,1
7,26,G - All Ages,24,3,0,4,18,139,0,1
7,13,PG-13 - Teens 13 or older,22,1,1,18,4,140,0,0
7,13,PG-13 - Teens 13 or older,22,1,1,18,4,141,0,0
8,26,PG-13 - Teens 13 or older,24,1,2,2,216,142,0,0
7,39,G - All Ages,24,3,6,39,127,143,0,1
6,12,PG-13 - Teens 13 or older,23,1,1,40,321,144,0,26
8,26,PG-13 - Teens 13 or older,25,1,1,3,131,145,0,1
8,13,PG-13 - Teens 13 or older,23,1,1,3,19,146,0,1
8,1,PG-13 - Teens 13 or older,105,1,1,41,5,147,1,1
7,24,PG-13 - Teens 13 or older,23,1,0,2,7,148,0,1
7,3,PG-13 - Teens 13 or older,30,1,0,19,7,149,2,1
7,1,PG-13 - Teens 13 or older,46,1,0,36,7,150,3,1
7,1,PG-13 - Teens 13 or older,46,1,0,36,7,151,3,1
7,24,R+ - Mild Nudity,24,2,0,42,1,152,0,2
8,5,R+ - Mild Nudity,30,2,4,0,20,153,2,0
7,12,PG-13 - Teens 13 or older,23,1,0,0,9,154,0,0
7,12,PG-13 - Teens 13 or older,25,1,0,12,9,155,0,0
7,24,R+ - Mild Nudity,15,2,0,26,191,156,0,1
7,24,R+ - Mild Nudity,23,2,1,22,4,157,0,0
9,1,PG - Children,125,1,3,43,128,158,1,0
7,6,R+ - Mild Nudity,29,2,0,24,15,159,2,1
8,26,PG-13 - Teens 13 or older,23,1,1,0,0,160,0,0
7,5,Rx - Hentai,30,2,2,44,21,161,2,2
8,26,R - 17+ (violence & profanity),24,0,0,3,22,162,0,0
7,27,PG-13 - Teens 13 or older,24,1,1,17,64,163,0,2
7,13,R - 17+ (violence & profanity),25,0,1,9,191,164,2,2
8,3,PG-13 - Teens 13 or older,33,1,1,6,5,165,2,2
8,26,PG-13 - Teens 13 or older,25,1,0,6,1,166,0,2
8,161,R+ - Mild Nudity,24,2,0,3,5,167,0,1
7,1,PG-13 - Teens 13 or older,84,1,0,45,23,168,1,0
6,1,PG-13 - Teens 13 or older,48,1,0,46,0,169,1,2
8,26,PG-13 - Teens 13 or older,23,1,0,19,7,170,0,0
7,1,R - 17+ (violence & profanity),79,0,0,2,7,171,1,0
7,2,Rx - Hentai,30,2,0,44,21,172,2,0
7,13,R+ - Mild Nudity,25,2,0,47,21,173,0,0
8,153,PG-13 - Teens 13 or older,24,1,0,3,321,174,0,1
6,64,PG-13 - Teens 13 or older,23,1,0,3,321,175,0,1
