Name,Score,Genres,Type,Episodes,Rating,Producers,Studios,Source,Duration,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format
Tsurune: Kazemai Koukou Kyuudoubu - Yabai,7.12,"Sports, Drama, School",Special,1,PG-13 - Teens 13 or older,"Pony Canyon, Rakuonsha, Bandai Namco Arts",Kyoto Animation,Novel,24 min.,24,PG-13,Drama,Pony Canyon,Kyoto Animation
Nekopara,6.76,"Slice of Life, Comedy",TV,12,PG-13 - Teens 13 or older,"Movic, AT-X, KlockWorx, Good Smile Company, Avex Pictures, Avex Technologies",Felix Film,Novel,23 min. per ep.,23,PG-13,Comedy,Movic,Felix Film
Miru Tights,6.57,"Ecchi, School",ONA,12,PG-13 - Teens 13 or older,TRUSS,Yokohama Animation Lab,Original,4 min. per ep.,4,PG-13,School,TRUSS,Yokohama Animation Lab
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note - Hakamori to Neko to Majutsushi,7.11,"Fantasy, Mystery, Supernatural",Special,1,PG-13 - Teens 13 or older,Magic Capsule,TROYCA,Novel,24 min.,24,PG-13,Fantasy,Magic Capsule,TROYCA
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note,7.36,"Fantasy, Mystery, Supernatural",TV,13,R - 17+ (violence & profanity),"Aniplex, Notes",TROYCA,Novel,23 min. per ep.,23,R,Fantasy,Aniplex,TROYCA
JoJo no Kimyou na Bouken Part 5: Ougon no Kaze Recaps,6.74,"Action, Adventure, Shounen",Special,3,R - 17+ (violence & profanity),"Warner Bros. Japan, Shueisha",David Production,Manga,23 min. per ep.,23,R,Action,Shueisha,David Production
Bouen no March,6.07,Music,Music,1,G - All Ages,Toy's Factory,HOTZIPANG,Original,4 min.,4,G,Music,Toy's Factory,HOTZIPANG
Mobile Suit Gundam: Iron-Blooded Orphans - Urðr Hunt,5.0,"Action, Sci-Fi, Space, Drama, Mecha",ONA,50,R - 17+ (violence & profanity),Sunrise,Sunrise Beyond,Original,24 min. per ep.,24,R,Action,Sunrise,Sunrise Beyond
Birthday Wonderland,6.52,"Adventure, Fantasy",Movie,1,PG-13 - Teens 13 or older,"Aniplex, Dentsu, Fuji TV, Warner Bros. Japan",Signal.MD,Book,1 hr. 55 min.,115,PG-13,Fantasy,Aniplex,Signal.MD
Chuan Shu Zijiu Zhinan,7.83,"Historical, Demons, Supernatural, Drama",ONA,10,R - 17+ (violence & profanity),"Tencent Penguin Pictures, iQIYI",Djinn Power,Novel,20 min. per ep.,20,R,Drama,Tencent Penguin Pictures,Djinn Power
Rikei ga Koi ni Ochita no de Shoumei shitemita.,7.35,"Comedy, Romance",ONA,12,PG-13 - Teens 13 or older,"Flex Comix, Hokkaido Cultural Broadcasting, BS11, Yomiuri TV Enterprise, Kanetsu Investment, Toyo Recording, ibis Capital Partners, Y&N Brothers, Supa Love",Zero-G,Web manga,23 min. per ep.,23,PG-13,Comedy,BS11,Zero-G
Karakai Jouzu no Takagi-san 2,8.15,"Slice of Life, Comedy, Romance, School, Shounen",TV,12,PG-13 - Teens 13 or older,"Dentsu, TMS Entertainment, Asmik Ace, TOHO animation, Shogakukan, Sumitomo",Shin-Ei Animation,Manga,23 min. per ep.,23,PG-13,Comedy,Dentsu,Shin-Ei Animation
Kawauso Labo,5.0,Comedy,TV,26,G - All Ages,DAX Production,Kachidoki Studio,Manga,24 min. per ep.,24,G,Comedy,DAX Production,Kachidoki Studio
Kyokou Suiri,6.96,"Mystery, Demons, Supernatural, Romance, Shounen",TV,12,R - 17+ (violence & profanity),"Nihon Ad Systems, Kodansha, KlockWorx, Docomo Anime Store, King Records, GYAO!, BS NTV, Crunchyroll SC Anime Fund, Marui Group",Brain's Base,Manga,24 min. per ep.,24,R,Romance,Kodansha,Brain's Base
Ling Feng Zhe,6.07,"Slice of Life, Historical, Drama, Romance",ONA,7,PG-13 - Teens 13 or older,bilibili,Wawayu Animation,Original,24 min. per ep.,24,PG-13,Drama,bilibili,Wawayu Animation
Wu Dong Qian Kun,7.39,"Action, Adventure, Historical, Martial Arts, Fantasy",ONA,12,PG-13 - Teens 13 or older,"Tencent Penguin Pictures, China Literature Limited",Motion Magic,Novel,25 min. per ep.,25,PG-13,Action,Tencent Penguin Pictures,Motion Magic
Dumbbell Nan Kilo Moteru?,7.36,"Comedy, Ecchi, Slice of Life, Sports",TV,12,PG-13 - Teens 13 or older,"AT-X, Shogakukan, Kadokawa Media House, RAY, NTT Plala, Kadokawa",Doga Kobo,Web manga,24 min. per ep.,24,PG-13,Comedy,AT-X,Doga Kobo
Hataage! Kemono Michi,6.69,"Comedy, Fantasy, Shounen",TV,12,PG-13 - Teens 13 or older,"AT-X, Nippon Columbia, Sammy, Kadokawa Media House, Kadokawa, CA-Cygames Anime Fund",ENGI,Manga,23 min. per ep.,23,PG-13,Comedy,AT-X,ENGI
B Rappers Street,5.0,"Music, Comedy",TV,50,G - All Ages,"Sony Music Communications, Sony Music Entertainment, Shogakukan, Sony Interactive Entertainment",Pie in the sky,Original,2 min. per ep.,2,G,Comedy,Sony Music Entertainment,Pie in the sky
Duel Masters!!,5.0,"Action, Adventure, Comedy, Shounen",TV,51,G - All Ages,TV Tokyo,"Brain's Base, Shogakukan Music & Digital Entertainment",Original,24 min. per ep.,24,G,Comedy,TV Tokyo,Brain's Base
Jashin-chan Dropkick',7.42,"Comedy, Supernatural",ONA,11,PG-13 - Teens 13 or older,"BookLive, ibis Capital Partners, Global Solutions",Nomad,Web manga,23 min. per ep.,23,PG-13,Comedy,Global Solutions,Nomad
Megane no Megami,7.24,Hentai,OVA,2,Rx - Hentai,Lune Pictures,T-Rex,Manga,15 min. per ep.,15,R+,Hentai,Lune Pictures,T-Rex
Fairy Gone,5.81,"Action, Demons, Fantasy, Magic, Supernatural",TV,12,PG-13 - Teens 13 or older,"Mainichi Broadcasting System, Movic, AT-X, TOHO animation, Medicos Entertainment, BS11, Sanyo",P.A. Works,Original,23 min. per ep.,23,PG-13,Action,Movic,P.A. Works
Machikado Mazoku,7.68,"Slice of Life, Comedy, Magic",TV,12,PG-13 - Teens 13 or older,"Pony Canyon, TBS, Houbunsha, Medicos Entertainment, RAY",J.C.Staff,Manga,24 min. per ep.,24,PG-13,Comedy,Pony Canyon,J.C.Staff
Cider no You ni Kotoba ga Wakiagaru,5.0,Music,Movie,1,PG-13 - Teens 13 or older,flying DOG,"Signal.MD, Sublimation",Original,24 min. per ep.,24,PG-13,Music,flying DOG,Signal.MD
Doupo Cangqiong 2nd Season Specials,7.31,"Action, Adventure, Demons, Fantasy",ONA,3,PG-13 - Teens 13 or older,"Tencent Penguin Pictures, China Literature Limited",Motion Magic,Novel,25 min. per ep.,25,PG-13,Action,Tencent Penguin Pictures,Motion Magic
Super Shiro,6.0,Kids,TV,48,PG - Children,"Shin-Ei Animation, TV Aichi, Futabasha, Audio Planning U, Imagine",Science SARU,Manga,5 min. per ep.,5,PG-13,Kids,Imagine,Science SARU
A3! Season Spring & Summer,7.14,"Slice of Life, Drama",TV,12,PG-13 - Teens 13 or older,"Pony Canyon, Liber Entertainment","P.A. Works, Studio 3Hz",Game,23 min. per ep.,23,PG-13,Drama,Pony Canyon,P.A. Works
Xie Wang Zhui Qi,6.7,"Action, Comedy, Drama, Romance, Martial Arts, Fantasy",ONA,13,PG-13 - Teens 13 or older,iQIYI,KJJ Animation,Novel,13 min. per ep.,13,PG-13,Comedy,iQIYI,KJJ Animation
