Name,Score,Genres,Type,Episodes,Rating,Producers,Studios,Source,Duration,Duration_format,Rating_format,Genre_format,Producers_format,Studios_format
Cowboy Bebop,8.78,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,R - 17+ (violence & profanity),Bandai Visual,Sunrise,Original,24 min. per ep.,24,R,Comedy,Bandai Visual,Sunrise
Cowboy Bebop: Tengoku no Tobira,8.39,"Action, Drama, Mystery, Sci-Fi, Space",Movie,1,R - 17+ (violence & profanity),"Sunrise, Bandai Visual",Bones,Original,1 hr. 55 min.,115,R,Action,Bandai Visual,Bones
Trigun,8.24,"Action, Sci-Fi, Adventure, Comedy, Drama, Shounen",TV,26,PG-13 - Teens 13 or older,Victor Entertainment,Madhouse,Manga,24 min. per ep.,24,PG-13,Comedy,Victor Entertainment,Madhouse
Witch Hunter Robin,7.27,"Action, Mystery, Police, Supernatural, Drama, Magic",TV,26,PG-13 - Teens 13 or older,"TV Tokyo, Bandai Visual, Dentsu, Victor Entertainment",Sunrise,Original,25 min. per ep.,25,PG-13,Action,TV Tokyo,Sunrise
Bouken Ou Beet,6.98,"Adventure, Fantasy, Shounen, Supernatural",TV,52,PG - Children,"TV Tokyo, Dentsu",Toei Animation,Manga,23 min. per ep.,23,PG-13,Fantasy,TV Tokyo,Toei Animation
Eyeshield 21,7.95,"Action, Sports, Comedy, Shounen",TV,145,PG-13 - Teens 13 or older,"TV Tokyo, Nihon Ad Systems, TV Tokyo Music, Shueisha",Gallop,Manga,23 min. per ep.,23,PG-13,Comedy,TV Tokyo,Gallop
Hachimitsu to Clover,8.06,"Comedy, Drama, Josei, Romance, Slice of Life",TV,24,PG-13 - Teens 13 or older,"Genco, Fuji TV, Shueisha",J.C.Staff,Manga,23 min. per ep.,23,PG-13,Comedy,Fuji TV,J.C.Staff
Initial D Fourth Stage,8.15,"Action, Cars, Sports, Drama, Seinen",TV,24,PG-13 - Teens 13 or older,"OB Planning, Studio Jack",A.C.G.T.,Manga,27 min. per ep.,27,PG-13,Action,Studio Jack,A.C.G.T.
Monster,8.76,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller",TV,74,R+ - Mild Nudity,"VAP, Shogakukan-Shueisha Productions, Nippon Television Network",Madhouse,Manga,24 min. per ep.,24,R+,Drama,VAP,Madhouse
Naruto,7.91,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen",TV,220,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, Shueisha",Studio Pierrot,Manga,23 min. per ep.,23,PG-13,Comedy,Aniplex,Studio Pierrot
One Piece,8.52,"Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen",TV,50,PG-13 - Teens 13 or older,"Fuji TV, TAP, Shueisha",Toei Animation,Manga,24 min.,24,PG-13,Comedy,Fuji TV,Toei Animation
Tennis no Ouji-sama,7.9,"Action, Comedy, Sports, School, Shounen",TV,178,PG-13 - Teens 13 or older,"Production I.G, Nihon Ad Systems",Trans Arts,Manga,22 min. per ep.,22,PG-13,Comedy,Nihon Ad Systems,Trans Arts
School Rumble,7.94,"Comedy, Romance, School, Shounen",TV,26,PG-13 - Teens 13 or older,"TV Tokyo, Sotsu, Marvelous, Starchild Records, Media Factory, DAX Production, Studio Jack",Studio Comet,Manga,23 min. per ep.,23,PG-13,Comedy,TV Tokyo,Studio Comet
Sunabouzu,7.42,"Action, Adventure, Comedy, Ecchi, Sci-Fi, Shounen",TV,24,R - 17+ (violence & profanity),"GDH, Pony Canyon, CBC",Gonzo,Manga,24 min. per ep.,24,R,Comedy,Pony Canyon,Gonzo
Texhnolyze,7.76,"Action, Sci-Fi, Psychological, Drama",TV,22,R+ - Mild Nudity,"Group TAC, Rondo Robe, Fuji TV, Pioneer LDC",Madhouse,Original,23 min. per ep.,23,R+,Action,Fuji TV,Madhouse
Yakitate!! Japan,7.95,"Comedy, Shounen",TV,69,PG-13 - Teens 13 or older,"TV Tokyo, Aniplex, d-rights, Tohokushinsha Film Corporation, Atelier Musa",Sunrise,Manga,24 min. per ep.,24,PG-13,Comedy,Aniplex,Sunrise
Zipang,7.51,"Action, Military, Sci-Fi, Historical, Drama, Seinen",TV,26,PG-13 - Teens 13 or older,"Marvelous, TBS",Studio Deen,Manga,24 min. per ep.,24,PG-13,Action,TBS,Studio Deen
Neon Genesis Evangelion,8.32,"Action, Sci-Fi, Dementia, Psychological, Drama, Mecha",TV,26,PG-13 - Teens 13 or older,"TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","Gainax, Tatsunoko Production",Original,24 min. per ep.,24,PG-13,Action,TV Tokyo,Tatsunoko Production
Neon Genesis Evangelion: Death & Rebirth,7.45,"Drama, Mecha, Psychological, Sci-Fi",Movie,1,R - 17+ (violence & profanity),"Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",Original,1 hr. 44 min.,104,R,Sci-Fi,Movic,Production I.G
Neon Genesis Evangelion: The End of Evangelion,8.51,"Sci-Fi, Dementia, Psychological, Drama, Mecha",Movie,1,R+ - Mild Nudity,"TV Tokyo, Toei Animation, Kadokawa Shoten, Movic, Sega, TV Tokyo Music, Audio Tanaka","Gainax, Production I.G",Original,1 hr. 27 min.,87,R+,Sci-Fi,TV Tokyo,Production I.G
Kenpuu Denki Berserk,8.49,"Action, Adventure, Demons, Drama, Fantasy, Horror, Military, Romance, Seinen, Supernatural",TV,25,R+ - Mild Nudity,"VAP, Hakusensha, Nippon Television Network",OLM,Manga,25 min. per ep.,25,R+,Action,VAP,OLM
Koukaku Kidoutai,8.29,"Action, Mecha, Police, Psychological, Sci-Fi, Seinen",Movie,1,R+ - Mild Nudity,"Bandai Visual, Kodansha",Production I.G,Manga,1 hr. 22 min.,82,R+,Action,Bandai Visual,Production I.G
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.73,"Action, Historical, Drama, Romance, Martial Arts, Samurai, Shounen",OVA,4,R - 17+ (violence & profanity),Aniplex,Studio Deen,Manga,30 min. per ep.,30,R,Action,Aniplex,Studio Deen
Rurouni Kenshin: Meiji Kenkaku Romantan,8.31,"Action, Adventure, Comedy, Historical, Romance, Samurai, Shounen",TV,94,PG-13 - Teens 13 or older,"Aniplex, SME Visual Works, Fuji TV","Gallop, Studio Deen",Manga,25 min. per ep.,25,PG-13,Comedy,Aniplex,Studio Deen
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,1,R - 17+ (violence & profanity),"Fuji TV, Sony Music Entertainment",Gallop,Manga,1 hr. 31 min.,91,R,Drama,Fuji TV,Gallop
Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,1,R+ - Mild Nudity,"Mainichi Broadcasting System, Kodansha, Toho",Tokyo Movie Shinsha,Manga,2 hr. 4 min.,124,R+,Action,Kodansha,Tokyo Movie Shinsha
.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,26,PG-13 - Teens 13 or older,"Bandai Visual, Yomiko Advertising, Bandai, CyberConnect2",Bee Train,Original,24 min. per ep.,24,PG-13,Fantasy,Bandai Visual,Bee Train
Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,5,PG-13 - Teens 13 or older,"Bandai Visual, KSS, Pony Canyon, TBS, Kodansha, Half H.P Studio, Nichion",AIC,Manga,30 min. per ep.,30,PG-13,Comedy,Bandai Visual,AIC
Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,24,PG-13 - Teens 13 or older,"Bandai Visual, TBS, Imagine",AIC,Manga,24 min. per ep.,24,PG-13,Comedy,Bandai Visual,AIC
Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,3,R+ - Mild Nudity,"Bandai Visual, AIC, Lantis, Audio Tanaka",Hal Film Maker,Manga,30 min. per ep.,30,R+,Action,Lantis,Hal Film Maker
Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,26,PG-13 - Teens 13 or older,TV Tokyo Music,Bones,Manga,24 min. per ep.,24,PG-13,Comedy,TV Tokyo Music,Bones
Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,24,PG-13 - Teens 13 or older,"Movic, Fuji TV, Pioneer LDC, Cosmic Ray",J.C.Staff,Manga,23 min. per ep.,23,PG-13,Comedy,Movic,J.C.Staff
Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,1,R - 17+ (violence & profanity),"Mainichi Broadcasting System, Toho, TYO Animations, TYO",Digital Frontier,Manga,1 hr. 45 min.,105,R,Action,Mainichi Broadcasting System,Digital Frontier
Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,26,R - 17+ (violence & profanity),"Sony Pictures Entertainment, Aniplex",Bee Train,Game,22 min. per ep.,22,R,Action,Aniplex,Bee Train
Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,13,R - 17+ (violence & profanity),Production I.G,"Bee Train, Xebec",Original,24 min. per ep.,24,R,Fantasy,Production I.G,Xebec
Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,26,R - 17+ (violence & profanity),"Marvelous, Starchild Records, Asatsu DK, Kodansha",Madhouse,Manga,25 min. per ep.,25,R,Comedy,Kodansha,Madhouse
Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,26,R+ - Mild Nudity,"Youmex, Toshiba EMI",AIC,Original,23 min. per ep.,23,R+,Sci-Fi,Youmex,AIC
Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,26,PG-13 - Teens 13 or older,"TBS, Pioneer LDC",Madhouse,Manga,24 min. per ep.,24,PG-13,Comedy,TBS,Madhouse
Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,24,R - 17+ (violence & profanity),"Lantis, Kadokawa Shoten, Fuji TV",Gonzo,Manga,23 min. per ep.,23,R,Action,Lantis,Gonzo
D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,26,PG-13 - Teens 13 or older,Kadokawa Shoten,Xebec,Manga,23 min. per ep.,23,PG-13,Comedy,Kadokawa Shoten,Xebec
D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,26,PG-13 - Teens 13 or older,"Lantis, King Records","feel., Zexcs",Novel,24 min. per ep.,24,PG-13,Drama,Lantis,feel.
DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,12,R+ - Mild Nudity,"Bandai Visual, Hal Film Maker, Genco, Lantis",Daume,Manga,23 min. per ep.,23,R+,Comedy,Lantis,Daume
Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,12,PG-13 - Teens 13 or older,"Mellow Head, Pony Canyon, TBS, Memory-Tech, Studio Jack",Nomad,Manga,24 min. per ep.,24,PG-13,Comedy,Pony Canyon,Nomad
Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,12,PG-13 - Teens 13 or older,"Mellow Head, TBS",Nomad,Manga,24 min. per ep.,24,PG-13,Comedy,TBS,Nomad
Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,26,PG-13 - Teens 13 or older,"Genco, Lantis, Imagica, TV Tokyo Music, Cosmic Ray, King Records",J.C.Staff,Manga,24 min. per ep.,24,PG-13,Comedy,Lantis,J.C.Staff
Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,24,R - 17+ (violence & profanity),"GDH, Kodansha, Sotsu Music Publishing",Gonzo,Manga,24 min. per ep.,24,R,Action,Kodansha,Gonzo
Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,23,PG-13 - Teens 13 or older,"GDH, Dentsu, TBS, Sotsu Music Publishing",Gonzo,Manga,24 min. per ep.,24,PG-13,Comedy,Dentsu,Gonzo
Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,25,PG-13 - Teens 13 or older,"Bandai Visual, Imagine",Sunrise,Original,24 min. per ep.,24,PG-13,Action,Bandai Visual,Sunrise
Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,24,R - 17+ (violence & profanity),Kadokawa Shoten,Gonzo,Novel,24 min. per ep.,24,R,Comedy,Kadokawa Shoten,Gonzo
Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,12,PG-13 - Teens 13 or older,"Tatsunoko Production, Kadokawa Shoten, Fuji TV, Imagica, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, Happinet Pictures, Animation Do",Kyoto Animation,Novel,24 min. per ep.,24,PG-13,Comedy,Fuji TV,Kyoto Animation
Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,13,R - 17+ (violence & profanity),"Kadokawa Shoten, Happinet Pictures",Kyoto Animation,Novel,24 min. per ep.,24,R,Action,Kadokawa Shoten,Kyoto Animation
Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,26,G - All Ages,"Aniplex, Sogo Vision",Group TAC,Manga,25 min. per ep.,25,G,Comedy,Aniplex,Group TAC
Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,25,PG-13 - Teens 13 or older,"TV Tokyo Music, King Records",Xebec,Original,24 min. per ep.,24,PG-13,Action,TV Tokyo Music,Xebec
Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,13,PG-13 - Teens 13 or older,"Starchild Records, Omnibus Japan",Seven Arcs,Original,25 min. per ep.,25,PG-13,Comedy,Starchild Records,Seven Arcs
Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,13,PG-13 - Teens 13 or older,"Starchild Records, Omnibus Japan",Seven Arcs,Original,25 min. per ep.,25,PG-13,Comedy,Starchild Records,Seven Arcs
Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,24,R+ - Mild Nudity,"Xebec, Lantis, Memory-Tech",Asread,Novel,23 min. per ep.,23,R+,Comedy,Lantis,Asread
Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,43,PG-13 - Teens 13 or older,"Sotsu, Nagoya Broadcasting Network",Sunrise,Original,25 min. per ep.,25,PG-13,Action,Sotsu,Sunrise
Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,12,PG-13 - Teens 13 or older,Atelier Musa,Sunrise,Original,25 min. per ep.,25,PG-13,Sci-Fi,Atelier Musa,Sunrise
Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",OVA,6,PG-13 - Teens 13 or older,Bandai Visual,Sunrise,Original,27 min. per ep.,27,PG-13,Sci-Fi,Bandai Visual,Sunrise
Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,1,PG-13 - Teens 13 or older,"Sotsu, Atelier Musa",Sunrise,Original,52 min.,52,PG-13,Sci-Fi,Sotsu,Sunrise
Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,13,PG-13 - Teens 13 or older,Bandai Visual,Sunrise,Original,30 min. per ep.,30,PG-13,Sci-Fi,Bandai Visual,Sunrise
Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,50,PG-13 - Teens 13 or older,"Sotsu, Nagoya Broadcasting Network",Sunrise,Original,24 min. per ep.,24,PG-13,Sci-Fi,Sotsu,Sunrise
Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,47,PG-13 - Teens 13 or older,"Sotsu, Nagoya Broadcasting Network",Sunrise,Original,24 min. per ep.,24,PG-13,Comedy,Sotsu,Sunrise
Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Movie,1,PG-13 - Teens 13 or older,"Sotsu, Nozomi Entertainment, Atelier Musa","Sunrise, Studio Hibari",Novel,1 hr. 59 min.,119,PG-13,Sci-Fi,Sotsu,Sunrise
Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Movie,1,PG-13 - Teens 13 or older,"Sotsu, Shochiku, Atelier Musa, Nagoya Broadcasting Network",Sunrise,Manga,2 hr.,2,PG-13,Sci-Fi,Sotsu,Sunrise
Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,51,PG-13 - Teens 13 or older,"TV Asahi, Sotsu, Apollon","Sunrise, Studio Deen",Original,24 min. per ep.,24,PG-13,Sci-Fi,Sotsu,Sunrise
Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,49,PG-13 - Teens 13 or older,TV Asahi,Sunrise,Original,24 min. per ep.,24,PG-13,Action,TV Asahi,Sunrise
Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,3,PG-13 - Teens 13 or older,"Bandai Visual, Sotsu",Sunrise,Original,30 min. per ep.,30,PG-13,Action,Bandai Visual,Sunrise
After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,39,PG-13 - Teens 13 or older,"TV Asahi, Sotsu",Sunrise,Original,24 min. per ep.,24,PG-13,Sci-Fi,Sotsu,Sunrise
Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,R - 17+ (violence & profanity),"Sotsu, Asatsu DK, Mainichi Broadcasting System, Sony Music Entertainment, Atelier Musa",Sunrise,Original,24 min. per ep.,24,R,Action,Sotsu,Sunrise
Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,50,R - 17+ (violence & profanity),"Sotsu, Mainichi Broadcasting System, Sony Music Entertainment",Sunrise,Original,24 min. per ep.,24,R,Action,Sotsu,Sunrise
Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,50,PG-13 - Teens 13 or older,"Sotsu, Fuji TV","Sunrise, Nakamura Production",Original,24 min. per ep.,24,PG-13,Action,Sotsu,Sunrise
Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,49,PG-13 - Teens 13 or older,"TV Asahi, Sotsu",Sunrise,Original,24 min. per ep.,24,PG-13,Comedy,Sotsu,Sunrise
Last Exile,7.82,"Action, Sci-Fi, Adventure",TV,26,PG-13 - Teens 13 or older,"GDH, Victor Entertainment, TV Tokyo Music",Gonzo,Original,24 min. per ep.,24,PG-13,Action,TV Tokyo Music,Gonzo
Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,26,PG-13 - Teens 13 or older,"Bandai Visual, TV Tokyo Music, Studio Zain",Sunrise,Original,23 min. per ep.,23,PG-13,Comedy,Bandai Visual,Sunrise
Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",TV,26,PG-13 - Teens 13 or older,"Bandai Visual, Lantis, TV Tokyo Music",Sunrise,Original,24 min. per ep.,24,PG-13,Comedy,Lantis,Sunrise
Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,13,PG-13 - Teens 13 or older,"Kadokawa Shoten, Rondo Robe",Hal Film Maker,Manga,23 min. per ep.,23,PG-13,Comedy,Kadokawa Shoten,Hal Film Maker
Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,12,PG-13 - Teens 13 or older,"Pony Canyon, TBS, Movic",Kyoto Animation,Novel,24 min. per ep.,24,PG-13,Drama,Movic,Kyoto Animation
Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",TV,26,PG-13 - Teens 13 or older,"Animax, Toei Video, Sunny Side Up",TMS Entertainment,Manga,25 min. per ep.,25,PG-13,Comedy,Toei Video,TMS Entertainment
Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,74,G - All Ages,"Nihon Ad Systems, Shueisha",Gallop,Manga,24 min. per ep.,24,G,Comedy,Shueisha,Gallop
Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,24,R - 17+ (violence & profanity),Bandai Visual,Studio Pierrot,Manga,21 min. per ep.,21,R,Comedy,Bandai Visual,Studio Pierrot
Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,13,PG-13 - Teens 13 or older,Aniplex,Studio Deen,Manga,24 min. per ep.,24,PG-13,Comedy,Aniplex,Studio Deen
Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,3,PG-13 - Teens 13 or older,Aniplex,Studio Deen,Manga,30 min. per ep.,30,PG-13,Comedy,Aniplex,Studio Deen
Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",TV,24,PG-13 - Teens 13 or older,"GDH, TV Asahi, Imagica",Gonzo,Original,23 min. per ep.,23,PG-13,Comedy,TV Asahi,Gonzo
Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",TV,52,PG - Children,"NHK, Studio Tron",Nippon Animation,Original,25 min. per ep.,25,PG-13,Comedy,NHK,Nippon Animation
Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,8,PG-13 - Teens 13 or older,m.o.e.,"Imagin, Studio Live",Original,14 min. per ep.,14,PG-13,Comedy,m.o.e.,Imagin
Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",TV,26,PG-13 - Teens 13 or older,"Starchild Records, TV Tokyo Music",Xebec,Original,23 min. per ep.,23,PG-13,Action,Starchild Records,Xebec
Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",TV,26,PG-13 - Teens 13 or older,TV Tokyo Music,Production I.G,Manga,12 min. per ep.,12,PG-13,Comedy,TV Tokyo Music,Production I.G
El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",TV,13,PG-13 - Teens 13 or older,Pioneer LDC,AIC,Original,25 min. per ep.,25,PG-13,Comedy,Pioneer LDC,AIC
El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",TV,26,PG-13 - Teens 13 or older,"TV Tokyo, Geneon Universal Entertainment, SoftX, Pioneer LDC, TV Tokyo Music, Atelier Musa",AIC,Original,23 min. per ep.,23,PG-13,Comedy,TV Tokyo,AIC
El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy",OVA,7,PG-13 - Teens 13 or older,Pioneer LDC,AIC,Original,34 min. per ep.,34,PG-13,Comedy,Pioneer LDC,AIC
El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy",OVA,4,PG-13 - Teens 13 or older,Pioneer LDC,AIC,Original,30 min. per ep.,30,PG-13,Comedy,Pioneer LDC,AIC
Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",TV,13,PG-13 - Teens 13 or older,Trinet Entertainment,Zexcs,Novel,14 min. per ep.,14,PG-13,Comedy,Trinet Entertainment,Zexcs
Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,26,PG-13 - Teens 13 or older,"TV Tokyo, Nihon Ad Systems, King Records",Studio Deen,Manga,24 min. per ep.,24,PG-13,Comedy,TV Tokyo,Studio Deen
Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,51,PG-13 - Teens 13 or older,"Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System",Bones,Manga,24 min. per ep.,24,PG-13,Comedy,Aniplex,Bones
Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,52,PG-13 - Teens 13 or older,Nihon Ad Systems,Studio Deen,Manga,24 min. per ep.,24,PG-13,Comedy,Nihon Ad Systems,Studio Deen
Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,52,PG-13 - Teens 13 or older,"TV Tokyo, Shogakukan-Shueisha Productions, Yomiko Advertising, Apollon",Studio Pierrot,Manga,23 min. per ep.,23,PG-13,Comedy,TV Tokyo,Studio Pierrot
Futakoi,6.49,"Comedy, Romance, School",TV,13,PG-13 - Teens 13 or older,Lantis,Telecom Animation Film,Original,24 min. per ep.,24,PG-13,Comedy,Lantis,Telecom Animation Film
Futakoi Alternative,6.91,"Comedy, Drama, Romance",TV,13,PG-13 - Teens 13 or older,Lantis,"ufotable, feel., Studio Flag",Original,24 min. per ep.,24,PG-13,Comedy,Lantis,feel.
Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,24,PG-13 - Teens 13 or older,Media Factory,Gonzo,Game,25 min. per ep.,25,PG-13,Comedy,Media Factory,Gonzo
Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,50,R - 17+ (violence & profanity),"TV Tokyo, Dentsu, Group TAC",Studio Pierrot,Manga,23 min. per ep.,23,R,Comedy,TV Tokyo,Studio Pierrot
GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,49,PG-13 - Teens 13 or older,"TBS, Kodansha, Rondo Robe, Rakuonsha",Studio Deen,Manga,24 min. per ep.,24,PG-13,Comedy,Kodansha,Studio Deen
Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",TV,12,R+ - Mild Nudity,"Pony Canyon, Memory-Tech, Studio Jack",Studio Matrix,Novel,24 min. per ep.,24,R+,Comedy,Pony Canyon,Studio Matrix
Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",TV,13,R - 17+ (violence & profanity),"Marvelous, Fuji TV",Madhouse,Manga,24 min. per ep.,24,R,Action,Fuji TV,Madhouse
Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural",TV,75,PG-13 - Teens 13 or older,"TV Tokyo, Dentsu, Dream Force",Studio Pierrot,Manga,23 min. per ep.,23,PG-13,Comedy,TV Tokyo,Studio Pierrot
Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",TV,62,PG-13 - Teens 13 or older,Fuji TV,Nippon Animation,Manga,23 min. per ep.,23,PG-13,Action,Fuji TV,Nippon Animation
Jinki:Extend,6.14,"Mecha, Sci-Fi",TV,12,R - 17+ (violence & profanity),"TV Asahi, GANSIS",feel.,Manga,23 min. per ep.,23,R,Sci-Fi,TV Asahi,feel.
Kannazuki no Miko,6.87,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",TV,12,PG-13 - Teens 13 or older,"Studio Fantasia, Geneon Universal Entertainment, Remic, Front Line, Kodansha, Rondo Robe, Memory-Tech, Toshiba Entertainment",TNK,Manga,24 min. per ep.,24,PG-13,Drama,Kodansha,TNK
Kanon,7.11,"Drama, Romance, Slice of Life, Supernatural",TV,13,G - All Ages,"Movic, Fuji TV, Fujipacific Music",Toei Animation,Novel,24 min. per ep.,24,G,Drama,Movic,Toei Animation
